Date,Close,High,Low,Open,Volume,Intraday Range,Year,Month,MA_20,MA_50,Volatility_20,Volatility_50,Daily_Return,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Rolling_Return_5,Rolling_Return_10,Target
2010-01-04,6.43189811706543,6.446624608173617,6.3829098625572005,6.41446668654143,493729600,0.0637147456164166,2010,1,,,,,,,,,,,,,,,,,,1
2010-01-05,6.443016529083252,6.4793821235584055,6.409054923226288,6.449628601266614,601904800,0.0703272003321178,2010,1,,,,,0.0017286362152288959,,,,,,,,,,,,,0
2010-01-06,6.3405303955078125,6.468561319289456,6.333918324807697,6.443015083760133,552160000,0.1346429944817595,2010,1,,,,,-0.015906545189326327,0.0017286362152288959,,,,,,,,,,,,0
2010-01-07,6.328810214996338,6.371487735528592,6.282827460801755,6.363974016902019,477131200,0.0886602747268368,2010,1,,,,,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,,,,,,,,,,1
2010-01-08,6.370885372161865,6.3714868708370425,6.2831279593800575,6.320394393643604,447610800,0.0883589114569849,2010,1,,,,,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,,,,,,,,,0
2010-01-11,6.314684867858887,6.401541037129568,6.264794584715682,6.395530062951679,462229600,0.1367464524138855,2010,1,,,,,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,,,,,,-0.01822374158812423,,0
2010-01-12,6.242855548858643,6.304467241714201,6.203785414119402,6.287035012483797,594459600,0.1006818275947996,2010,1,,,,,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,,,,,-0.031066345914386395,,1
2010-01-13,6.330914497375488,6.339329862823668,6.134060272108536,6.247364749292684,605892000,0.2052695907151314,2010,1,,,,,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,,,,-0.001516576300799266,,0
2010-01-14,6.294248580932617,6.325204701724592,6.2819264831274175,6.314685896466499,432894000,0.043278218597174,2010,1,,,,,-0.00579156715164475,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,,,-0.005461000233792035,,0
2010-01-15,6.189059257507324,6.359466801011032,6.187255964862835,6.339330033147573,594067600,0.1722108361481966,2010,1,,,,,-0.01671197476120445,-0.00579156715164475,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,,-0.028540164205283935,,1
2010-01-19,6.4628520011901855,6.467360232264817,6.228430004309414,6.261188612985054,730007600,0.2389302279554037,2010,1,,,,,0.04423818423627979,-0.01671197476120445,-0.00579156715164475,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,,0.023463899851195125,0.004812558215533169,0
2010-01-20,6.363373756408691,6.4781801747506105,6.296352585470449,6.458945455016173,612152800,0.1818275892801617,2010,1,,,,,-0.015392313604454255,0.04423818423627979,-0.01671197476120445,-0.00579156715164475,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,0.0017286362152288959,0.019304980966936336,-0.012361100164039573,0
2010-01-21,6.253373622894287,6.410857943534868,6.227527235262426,6.373891654424182,608154400,0.1833307082724422,2010,1,,,,,-0.017286448623832773,-0.015392313604454255,0.04423818423627979,-0.01671197476120445,-0.00579156715164475,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.015906545189326327,-0.0122479737348129,-0.013745975048913062,0
2010-01-22,5.943216323852539,6.2362445740977535,5.925484747683451,6.214605863638267,881767600,0.3107598264143023,2010,1,,,,,-0.04959839564139079,-0.017286448623832773,-0.015392313604454255,0.04423818423627979,-0.01671197476120445,-0.00579156715164475,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.0018484542743897325,-0.055770319930399936,-0.06092675843401352,1
2010-01-25,6.103104591369629,6.15209243870075,6.016548546840464,6.086274260524146,1065699600,0.1355438918602862,2010,1,,,,,0.02690264981191981,-0.04959839564139079,-0.017286448623832773,-0.015392313604454255,0.04423818423627979,-0.01671197476120445,-0.00579156715164475,0.014105555995596486,-0.011374964943357324,-0.008821459031197021,0.006648193852586859,-0.013888163380150642,-0.04203195712205521,1
