Model,Accuracy,Precision,Recall,F1,AUC
"XGBoost (all features, 3d)",0.530718954248366,0.4397163120567376,0.6038961038961039,0.5088919288645691,0.5342187899627724
"XGBoost (all features, 5d)",0.4718954248366013,0.3473684210526316,0.637065637065637,0.44959128065395093,0.5312390312390312
